location,lat,lon,presmax,presmin,N
hippo4-20110616-2130,75.75,202.57,994.00,329.00,12.00
hippo4-20110616-2154,78.27,205.24,994.00,329.00,16.00
hippo4-20110616-2223,80.52,207.00,994.00,329.00,15.00
hippo4-20110616-2250,83.24,207.00,998.00,329.00,15.00
hippo4-20110616-2319,82.96,209.78,998.00,329.00,16.00
hippo4-20110616-2501,71.69,218.16,1000.00,179.00,17.00
hippo4-20110616-2534,69.47,217.32,1000.00,179.00,17.00
hippo4-20110618-1848,55.94,198.28,988.00,188.00,16.00
hippo4-20110618-1937,55.23,197.21,1002.00,335.00,13.00
hippo4-20110618-2004,52.35,198.25,977.00,329.00,11.00
hippo4-20110618-2025,50.86,198.73,977.00,329.00,15.00
hippo4-20110618-2046,48.88,199.24,976.00,329.00,10.00
hippo4-20110618-2108,47.37,199.55,975.00,329.00,14.00
hippo4-20110618-2130,45.57,199.90,977.00,329.00,15.00
hippo4-20110618-2152,43.91,200.23,977.00,329.00,11.00
hippo4-20110618-2214,42.13,200.59,977.00,329.00,13.00
hippo4-20110618-2235,40.56,200.89,977.00,329.00,13.00
hippo4-20110618-2258,38.55,201.30,977.00,329.00,15.00
hippo4-20110618-2320,36.87,201.64,977.00,329.00,11.00
hippo4-20110618-2345,34.55,202.10,977.00,329.00,11.00
hippo4-20110618-2409,32.83,202.45,977.00,329.00,14.00
hippo4-20110618-2431,30.71,202.86,977.00,329.00,14.00
hippo4-20110618-2550,20.81,204.55,1017.00,163.00,20.00
hippo4-20110622-2400,15.10,200.10,977.00,188.00,16.00
hippo4-20110622-2430,13.23,199.28,977.00,329.00,15.00
hippo4-20110622-2514,9.61,197.84,977.00,329.00,13.00
hippo4-20110622-2535,7.61,197.04,977.00,329.00,10.00
hippo4-20110622-2556,5.32,196.13,977.00,163.00,19.00
hippo4-20110622-2639,0.51,195.10,977.00,163.00,18.00
hippo4-20110622-2714,-1.77,194.27,977.00,329.00,13.00
hippo4-20110622-2738,-3.99,193.35,976.00,329.00,12.00
hippo4-20110622-2759,-5.54,192.71,973.00,329.00,15.00
hippo4-20110622-2823,-7.73,191.82,979.00,329.00,14.00
hippo4-20110622-2906,-11.45,190.71,978.00,329.00,11.00
hippo4-20110622-2928,-13.99,191.08,978.00,150.00,19.00
hippo4-20110625-2228,-25.63,193.01,977.00,188.00,12.00
hippo4-20110625-2257,-26.45,190.80,978.00,329.00,16.00
hippo4-20110625-2320,-27.30,188.39,978.00,329.00,16.00
hippo4-20110625-2344,-27.91,186.57,978.00,329.00,14.00
hippo4-20110625-2406,-28.50,184.70,994.00,329.00,16.00
hippo4-20110628-2617,-56.64,146.91,981.00,163.00,19.00
hippo4-20110628-2649,-57.62,144.95,982.00,329.00,11.00
hippo4-20110628-2715,-55.85,144.98,991.00,329.00,14.00
hippo4-20110628-2738,-54.34,145.15,991.00,329.00,15.00
hippo4-20110628-2802,-52.34,145.56,1002.00,329.00,13.00
hippo4-20110628-2828,-50.70,145.87,1002.00,329.00,16.00
hippo4-20110628-2916,-46.58,146.70,1012.00,162.00,16.00
hippo4-20110628-2949,-43.07,147.10,1039.00,162.00,15.00
hippo4-20110701-0039,-39.60,145.35,1021.00,188.00,19.00
hippo4-20110701-0154,-31.45,149.71,995.00,188.00,15.00
hippo4-20110701-0225,-30.18,149.18,996.00,393.00,11.00
hippo4-20110701-0249,-28.56,146.28,989.00,393.00,14.00
hippo4-20110701-0358,-24.80,142.29,1001.00,329.00,15.00
hippo4-20110701-0436,-21.45,140.00,958.00,329.00,13.00
hippo4-20110701-0503,-19.81,138.53,966.00,163.00,18.00
hippo4-20110701-0614,-13.37,131.73,992.00,148.00,16.00
hippo4-20110703-0144,-11.05,130.46,998.00,188.00,18.00
hippo4-20110703-0426,4.99,134.99,997.00,188.00,15.00
hippo4-20110703-0455,6.33,136.32,990.00,329.00,16.00
hippo4-20110703-0518,7.67,137.67,991.00,329.00,11.00
hippo4-20110703-0540,8.73,138.73,991.00,329.00,15.00
hippo4-20110703-0602,9.97,140.09,991.00,329.00,12.00
hippo4-20110703-0625,11.37,141.30,991.00,179.00,19.00
hippo4-20110703-0657,14.14,144.48,999.00,179.00,16.00
hippo4-20110706-0315,16.21,153.53,992.00,188.00,16.00
hippo4-20110706-0343,16.75,155.60,992.00,329.00,14.00
hippo4-20110706-0406,17.38,158.00,992.00,329.00,15.00
hippo4-20110706-0430,17.74,159.86,992.00,329.00,16.00
hippo4-20110706-0452,18.23,162.13,993.00,329.00,14.00
hippo4-20110706-0514,18.72,163.88,992.00,329.00,14.00
hippo4-20110706-0536,19.20,166.18,995.00,329.00,11.00
hippo4-20110706-0558,19.78,167.81,994.00,329.00,16.00
hippo4-20110706-0619,20.83,169.63,995.00,329.00,12.00
hippo4-20110706-0639,21.67,171.07,995.00,329.00,15.00
hippo4-20110706-0659,22.80,172.94,997.00,329.00,16.00
hippo4-20110706-0720,24.16,175.25,997.00,148.00,14.00
hippo4-20110706-0811,27.58,181.22,1001.00,148.00,16.00
hippo4-20110707-1619,35.03,184.99,1003.00,188.00,19.00
