location,lat,lon,presmax,presmin,N
ATom-2-2017-02-15-1616,34.54,331.46,1000.00,206.00,20.00
ATom-2-2017-02-15-1648,38.31,332.64,976.00,207.00,19.00
ATom-2-2017-02-18-0926,39.51,333.40,976.00,344.00,16.00
ATom-2-2017-02-18-1023,46.13,332.90,1008.00,345.00,17.00
ATom-2-2017-02-18-1043,48.10,332.71,1005.00,344.00,17.00
ATom-2-2017-02-18-1109,51.07,332.40,993.00,345.00,17.00
ATom-2-2017-02-18-1128,53.00,332.18,992.00,344.00,17.00
ATom-2-2017-02-18-1156,56.07,331.79,969.00,344.00,16.00
ATom-2-2017-02-18-1212,57.71,331.55,970.00,344.00,16.00
ATom-2-2017-02-18-1251,62.27,330.34,963.00,345.00,16.00
ATom-2-2017-02-18-1514,71.27,305.50,990.00,263.00,19.00
ATom-2-2017-02-18-1538,72.89,302.67,990.00,262.00,19.00
ATom-2-2017-02-18-1614,76.02,292.78,985.00,263.00,18.00
ATom-2-2017-02-19-1626,77.74,290.44,920.00,287.00,15.00
ATom-2-2017-02-19-1723,80.49,268.57,994.00,288.00,18.00
ATom-2-2017-02-19-1749,79.62,253.40,995.00,250.00,19.00
ATom-2-2017-02-19-1838,76.11,236.69,1007.00,251.00,19.00
ATom-2-2017-02-19-1904,74.02,231.61,1005.00,239.00,19.00
ATom-2-2017-02-19-2024,72.67,205.28,943.00,288.00,16.00
ATom-2-2017-02-19-2105,71.19,204.20,1009.00,375.00,17.00
ATom-2-2017-02-19-2123,70.49,208.96,940.00,376.00,14.00
ATom-2-2017-02-19-2149,69.92,211.84,1006.00,216.00,20.00
ATom-2-2017-02-19-2234,65.92,212.06,977.00,217.00,19.00
ATom-2-2017-02-19-2309,64.39,211.57,991.00,342.00,17.00
ATom-2-2017-02-19-2331,62.00,209.97,1002.00,344.00,17.00
ATom-3-2017-09-28-1437,33.21,241.02,889.00,262.00,15.00
ATom-3-2017-09-28-1846,2.52,239.00,996.00,239.00,19.00
ATom-3-2017-09-28-1917,0.64,239.01,994.00,217.00,20.00
ATom-3-2017-09-28-2003,4.95,239.00,993.00,217.00,20.00
ATom-3-2017-09-28-2029,8.26,239.00,993.00,202.00,20.00
ATom-3-2017-09-28-2122,14.23,238.99,992.00,202.00,20.00
ATom-3-2017-09-28-2150,17.45,239.00,991.00,197.00,20.00
ATom-3-2017-09-28-2228,21.51,239.00,992.00,197.00,20.00
ATom-3-2017-09-28-2255,24.57,239.00,992.00,188.00,20.00
ATom-3-2017-10-01-1608,35.74,239.94,865.00,274.00,14.00
ATom-3-2017-10-01-1722,38.90,231.51,1006.00,275.00,19.00
ATom-3-2017-10-01-1750,39.76,228.29,1005.00,275.00,19.00
ATom-3-2017-10-01-1824,40.79,224.05,991.00,275.00,18.00
ATom-3-2017-10-01-1847,42.87,222.32,990.00,250.00,19.00
ATom-3-2017-10-01-1925,46.58,220.85,1010.00,251.00,20.00
ATom-3-2017-10-01-1949,49.27,219.67,1009.00,250.00,19.00
ATom-3-2017-10-01-2024,52.71,218.47,992.00,250.00,19.00
ATom-3-2017-10-01-2048,55.61,217.61,990.00,228.00,19.00
ATom-3-2017-10-01-2309,71.12,212.10,951.00,228.00,17.00
ATom-3-2017-10-02-2420,69.98,204.10,1016.00,197.00,21.00
ATom-3-2017-10-02-2532,62.24,209.37,985.00,197.00,17.00
ATom-3-2017-10-04-1800,60.20,207.35,951.00,250.00,17.00
ATom-3-2017-10-04-1904,55.92,198.23,993.00,251.00,19.00
ATom-3-2017-10-04-1937,53.82,197.73,995.00,254.00,19.00
ATom-3-2017-10-04-2030,48.32,199.32,1008.00,262.00,19.00
ATom-3-2017-10-04-2053,45.55,200.00,1006.00,263.00,19.00
ATom-3-2017-10-04-2127,41.42,200.90,1018.00,263.00,20.00
ATom-3-2017-10-04-2151,38.90,201.39,1016.00,262.00,20.00
ATom-3-2017-10-04-2221,35.33,202.03,1014.00,263.00,20.00
ATom-3-2017-10-04-2245,33.55,202.32,1013.00,301.00,19.00
ATom-3-2017-10-04-2330,29.84,202.90,1007.00,302.00,18.00
ATom-3-2017-10-04-2352,26.84,203.36,1006.00,197.00,20.00
ATom-3-2017-10-05-2450,21.00,203.94,983.00,198.00,18.00
ATom-3-2017-10-06-1857,18.47,201.64,976.00,274.00,18.00
ATom-3-2017-10-06-1946,16.88,197.37,996.00,275.00,19.00
ATom-3-2017-10-06-2008,15.99,194.47,993.00,301.00,18.00
ATom-3-2017-10-06-2045,14.77,190.75,996.00,302.00,18.00
ATom-3-2017-10-06-2106,13.72,187.78,994.00,274.00,19.00
ATom-3-2017-10-06-2145,12.32,184.04,993.00,275.00,19.00
ATom-3-2017-10-06-2207,9.69,183.36,991.00,250.00,19.00
ATom-3-2017-10-06-2309,4.53,182.69,992.00,251.00,19.00
